Protein	Protein ID	Entry Name	Gene	Protein Description	input_proteome_1 Light Intensity	input_proteome_2 Light Intensity	input_proteome_3 Light Intensity	streptavidin_pulldown_1 Light Intensity	streptavidin_pulldown_2 Light Intensity	streptavidin_pulldown_3 Light Intensity	input_proteome_1 Heavy Intensity	input_proteome_2 Heavy Intensity	input_proteome_3 Heavy Intensity	streptavidin_pulldown_1 Heavy Intensity	streptavidin_pulldown_2 Heavy Intensity	streptavidin_pulldown_3 Heavy Intensity	input_proteome_1 Light MaxLFQ Intensity	input_proteome_2 Light MaxLFQ Intensity	input_proteome_3 Light MaxLFQ Intensity	streptavidin_pulldown_1 Light MaxLFQ Intensity	streptavidin_pulldown_2 Light MaxLFQ Intensity	streptavidin_pulldown_3 Light MaxLFQ Intensity	input_proteome_1 Heavy MaxLFQ Intensity	input_proteome_2 Heavy MaxLFQ Intensity	input_proteome_3 Heavy MaxLFQ Intensity	streptavidin_pulldown_1 Heavy MaxLFQ Intensity	streptavidin_pulldown_2 Heavy MaxLFQ Intensity	streptavidin_pulldown_3 Heavy MaxLFQ Intensity	input_proteome_1 Ratios HL	input_proteome_2 Ratios HL	input_proteome_3 Ratios HL	streptavidin_pulldown_1 Ratios HL	streptavidin_pulldown_2 Ratios HL	streptavidin_pulldown_3 Ratios HL	input_proteome_1 Median Log2 Ratios HL	input_proteome_2 Median Log2 Ratios HL	input_proteome_3 Median Log2 Ratios HL	streptavidin_pulldown_1 Median Log2 Ratios HL	streptavidin_pulldown_2 Median Log2 Ratios HL	streptavidin_pulldown_3 Median Log2 Ratios HL
sp|Q75VX8|GARE2_HUMAN	Q75VX8	GARE2_HUMAN	GAREM2	GRB2-associated and regulator of MAPK protein 2	2.44E+07	4.75E+07		4424358.5		1238621.1		1736734.8		3.43E+08	2.95E+08	2.05E+07	2.44E+07	4.75E+07								9.49E+07	1.35E+08	1.44E+08	0	1	0	1	0	2		-4.565726937		6.65055633		4.294108784
sp|O43633|CHM2A_HUMAN	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	9.64E+07	1.06E+08		1118168.4			8.94E+07	6.52E+07		3.52E+07	3.33E+07		4.59E+07	4.99E+07					3.94E+07	4.19E+07		3.52E+07	3.33E+07		13	12	0	1	0	0	0.161110265	0.378893646		5.062973354		
sp|Q9H8L6|MMRN2_HUMAN	Q9H8L6	MMRN2_HUMAN	MMRN2	Multimerin-2	4892086	1.46E+07		1370391.2	848075	2912703.2	2.02E+08	2.78E+08	1.72E+08	1.66E+08	1.70E+08	1.58E+08	4892086	1.46E+07		1370391.2	848075	2912703.2	1.70E+08	1.87E+08	1.44E+08	1.43E+08	1.39E+08	1.50E+08	2	2	0	1	1	1	5.692415067	4.387770848		4.436762479	4.631085542	4.144426231
sp|Q5TGY3|AHDC1_HUMAN	Q5TGY3	AHDC1_HUMAN	AHDC1	Transcription factor Gibbin				668787.56						1.54E+07	1.48E+07											1.54E+07	1.48E+07		0	0	0	1	0	0				4.342955768		
sp|Q9UPN6|SCAF8_HUMAN	Q9UPN6	SCAF8_HUMAN	SCAF8	SR-related and CTD-associated factor 8	1.25E+08	1.43E+08		4139527.2	6716019.5		9.39E+07	9.34E+07		4.23E+07	4.40E+07		2.13E+07	2.64E+07		6780331.5	1.10E+07		2.87E+07	3.26E+07		6.47E+07	6.74E+07		13	17	0	1	2	0	-0.107515884	-0.411330388		4.27660565	3.822339255	
sp|O75190|DNJB6_HUMAN	O75190	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6				6.56E+07	6.44E+07	5.40E+07				1.12E+09	1.45E+09	1.40E+09				6.56E+07	6.44E+07	5.40E+07				1.12E+09	1.45E+09	1.40E+09	0	0	0	2	6	2				3.968557628	4.742501298	1.689010001
sp|Q6ZRY4|RBPS2_HUMAN	Q6ZRY4	RBPS2_HUMAN	RBPMS2	RNA-binding protein with multiple splicing 2				8746031						8.55E+07															0	0	0	1	0	0				3.96309256		
sp|Q9Y3X0|CCDC9_HUMAN	Q9Y3X0	CCDC9_HUMAN	CCDC9	Coiled-coil domain-containing protein 9				238998.69						4.14E+07	3129234														0	0	0	1	0	0				3.711234905		
sp|Q9H5V9|STEEP_HUMAN	Q9H5V9	STEEP_HUMAN	STEEP1	STING ER exit protein	8.40E+07	5.55E+07	7.61E+07	9372797	7082976.5		8.82E+07	8.29E+07	8.86E+07	4.04E+07	4.16E+07		8.40E+07	5.55E+07	7.61E+07	9372797	7082976.5		8.82E+07	8.29E+07	8.86E+07	4.04E+07	4.16E+07		11	10	9	2	2	0	0.219211373	0.639598284	0.66044708	3.151100566	1.971270208	
sp|Q9BQF6|SENP7_HUMAN	Q9BQF6	SENP7_HUMAN	SENP7	Sentrin-specific protease 7	1.06E+07	4.39E+07		3245470.8	1717838.4		2754416	8148132.5		2.40E+07	1.65E+07		1.70E+07	1.98E+07		3245470.8	1717838.4		2754416	8148132.5		2.40E+07	1.65E+07		1	1	0	2	2	0	-1.374519568	-0.374563538		2.882104379	3.068160519	
sp|Q9UJY5|GGA1_HUMAN	Q9UJY5	GGA1_HUMAN	GGA1	ADP-ribosylation factor-binding protein GGA1	2.71E+07	3.24E+07		7672182	2349677.2		2.84E+07	1.35E+07		2.03E+07	1.89E+07		1.77E+07	1.57E+07		7672182	2349677.2		1.52E+07	1.35E+07		2.03E+07	1.89E+07		1	1	0	4	3	0	0.333840937	0.231375746		2.830987662	3.133256676	
sp|Q9Y4F1|FARP1_HUMAN	Q9Y4F1	FARP1_HUMAN	FARP1	"FERM, ARHGEF and pleckstrin domain-containing protein 1"	5.87E+07	9.95E+07		3.83E+07	4.63E+07		6.03E+07	6.82E+07		9.44E+07	9.32E+07		5.87E+07	9.95E+07		1.64E+07	2.08E+07		6.03E+07	6.82E+07		7.77E+07	8.52E+07		1	2	0	9	5	0	0.270474452	0.15754092		2.77576657	2.250555048	
sp|Q8N357|S35F6_HUMAN	Q8N357	S35F6_HUMAN	SLC35F6	Solute carrier family 35 member F6	1.77E+07	1.22E+07		1.70E+07	1.64E+07		6.51E+08	5.59E+08		5.22E+07	8.34E+07		1.31E+07	9069390		1.70E+07	1.64E+07		5.95E+08	4.93E+08		5.22E+07	8.34E+07		7	6	0	3	1	0	5.408151072	6.325027185		2.713468343	4.181008284	
sp|Q13137|CACO2_HUMAN	Q13137	CACO2_HUMAN	CALCOCO2	Calcium-binding and coiled-coil domain-containing protein 2				2351510.5	7765221.5					1.62E+07	1.41E+07					2351510.5	7765221.5					1.62E+07	1.41E+07		0	0	0	1	1	0				2.701624816	0.123431174	
