protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
P61604,HSPE1,-14.44130426026899,25.091624649415508,-57.65857336896385,3.5550004058121355e-8,4.3911923927950884e-5,5.088585048221745,4.357417534587977,Depleted (Input)
Q9UII2,ATP5IF1,-11.876872557169229,23.80940879786563,-47.08539286302969,9.64888019061315e-8,4.3911923927950884e-5,4.979953327053895,4.357417534587977,Depleted (Input)
P17096,HMGA1,-11.391731347543981,23.566838193053005,-45.68868518271676,1.1192054951535339e-7,4.3911923927950884e-5,4.9601603207275495,4.357417534587977,Depleted (Input)
Q86V81,ALYREF,-11.866890743027465,23.804417890794742,-44.718820866670534,1.2439884486429825e-7,4.3911923927950884e-5,4.945401397196944,4.357417534587977,Depleted (Input)
P52815,MRPL12,-11.218330746782865,23.480137892672445,-43.99255908325654,1.348485726376116e-7,4.3911923927950884e-5,4.933758559571615,4.357417534587977,Depleted (Input)
P12270,TPR,-10.927923835121444,23.33493443684173,-43.64694327086444,1.4019071679713491e-7,4.3911923927950884e-5,4.928030215452395,4.357417534587977,Depleted (Input)
Q5T1J5,CHCHD2P9,-11.126347151001877,23.43414609478195,-42.939530871769655,1.519405611179537e-7,4.3911923927950884e-5,4.915909135433747,4.357417534587977,Depleted (Input)
P82979,SARNP,-11.057354515680046,23.399649777121038,-42.909417927706706,1.5246647168994883e-7,4.3911923927950884e-5,4.915381000065649,4.357417534587977,Depleted (Input)
Q15287,RNPS1,-10.605239833394073,23.17359243597805,-42.36384972472583,1.6238459264213646e-7,4.3911923927950884e-5,4.905634264522323,4.357417534587977,Depleted (Input)
Q9Y5J7,TIMM9,-10.32267562583915,23.03231033220059,-41.60340403367049,1.7753603716455527e-7,4.3911923927950884e-5,4.891463315464236,4.357417534587977,Depleted (Input)
O00330,PDHX,-10.32983290083719,23.035888969699602,-41.377972807693034,1.8235045432446698e-7,4.3911923927950884e-5,4.887125642037189,4.357417534587977,Depleted (Input)
P22307,SCP2,-10.356748680479935,23.04934685952098,-40.57563451380819,2.0080862902766488e-7,4.3911923927950884e-5,4.871153424255082,4.357417534587977,Depleted (Input)
Q9Y5L4,TIMM13,-10.34908017905552,23.045512608808775,-40.563246098262375,2.011107956273121e-7,4.3911923927950884e-5,4.87090007460443,4.357417534587977,Depleted (Input)
P30049,ATP5F1D,-10.088979722209103,22.915462380385563,-40.15428924358029,2.1139965655962233e-7,4.3911923927950884e-5,4.862417629237983,4.357417534587977,Depleted (Input)
Q9Y2S6,TMA7,-9.999896122132665,22.87092058034734,-39.838740575503266,2.197730561318686e-7,4.3911923927950884e-5,4.855711226497576,4.357417534587977,Depleted (Input)
Q9HAV7,GRPEL1,-9.735001483555251,22.73847326105864,-39.10092373350126,2.409599197500081e-7,4.3911923927950884e-5,4.839457522164212,4.357417534587977,Depleted (Input)
O75937,DNAJC8,-9.75438962710028,22.748167332831155,-38.59577804653196,2.5688895689513266e-7,4.3911923927950884e-5,4.827844829446841,4.357417534587977,Depleted (Input)
Q8WW12,PCNP,-10.066246696536254,22.904095867549135,-38.54672592489323,2.5850220946033044e-7,4.3911923927950884e-5,4.8266953784601405,4.357417534587977,Depleted (Input)
P15586,GNS,-9.968891808870953,22.855418423716486,-38.54327909814714,2.586160277991843e-7,4.3911923927950884e-5,4.826614460519124,4.357417534587977,Depleted (Input)
Q9H270,VPS11,-9.962038283682869,22.851991661122444,-38.23265197657243,2.691252652002111e-7,4.3911923927950884e-5,4.8192417225550415,4.357417534587977,Depleted (Input)
P52926,HMGA2,-9.543194579809725,22.642569809185876,-38.030055837630385,2.7625658727792725e-7,4.3911923927950884e-5,4.814346024770376,4.357417534587977,Depleted (Input)
Q96S55,WRNIP1,-10.543936092503241,23.142940565532637,-37.930537370432475,2.798427175179235e-7,4.3911923927950884e-5,4.811915529328141,4.357417534587977,Depleted (Input)
P42771,CDKN2A,-9.423608048303684,22.582776543432857,-37.84511191293528,2.829657170933569e-7,4.3911923927950884e-5,4.8098155829304705,4.357417534587977,Depleted (Input)
P82970,HMGN5,-9.654977499870622,22.698461269216324,-37.82736468668059,2.8361976909712827e-7,4.3911923927950884e-5,4.809377726506062,4.357417534587977,Depleted (Input)
P05204,HMGN2,-10.387377710188336,23.06466137437518,-37.51943473987784,2.9526276634583523e-7,4.3911923927950884e-5,4.801692323278356,4.357417534587977,Depleted (Input)
Q9Y5J9,TIMM8B,-9.347905207765269,22.544925123163647,-37.2701296983083,3.051119267456327e-7,4.3911923927950884e-5,4.795345726538574,4.357417534587977,Depleted (Input)
P18859,ATP5PF,-9.294414520012364,22.518179779287195,-36.9745489892069,3.173058749398476e-7,4.3911923927950884e-5,4.787673058830146,4.357417534587977,Depleted (Input)
P30405,PPIF,-9.649634306030531,22.695789672296282,-36.85176001676647,3.2254316041302073e-7,4.3911923927950884e-5,4.784437510977552,4.357417534587977,Depleted (Input)
